code,year,pays,y
30,1982,Italy,1.56
30,1983,Italy,1.51
30,1984,Italy,1.46
30,1985,Italy,1.42
30,1986,Italy,1.35
30,1987,Italy,1.33
30,1988,Italy,1.36
30,1989,Italy,1.33
30,1990,Italy,1.33
30,1991,Italy,1.31
30,1992,Italy,1.3
30,1993,Italy,1.25
30,1994,Italy,1.22
30,1995,Italy,1.19
30,1996,Italy,1.2
30,1997,Italy,1.21
30,1998,Italy,1.21
30,1999,Italy,1.24
30,2000,Italy,1.25
30,2001,Italy,1.25
30,2002,Italy,1.27
30,2003,Italy,1.29
30,2004,Italy,1.34
30,2005,Italy,1.34
30,2006,Italy,1.37
30,2007,Italy,1.4
30,2008,Italy,1.44
30,2009,Italy,1.45
30,2010,Italy,1.45
30,2011,Italy,1.43
30,2012,Italy,1.42
30,2013,Italy,1.38
30,2014,Italy,1.37
30,2015,Italy,1.35
30,2016,Italy,1.34
30,2017,Italy,1.32
30,2018,Italy,1.29
30,2019,Italy,1.26
30,2020,Italy,1.26
30,2021,Italy,1.28
30,2022,Italy,1.29
31,1950,Japan,3.66
31,1951,Japan,3.25
31,1952,Japan,2.96
31,1953,Japan,2.68
31,1954,Japan,2.48
31,1955,Japan,2.37
31,1956,Japan,2.23
31,1957,Japan,2.06
31,1958,Japan,2.12
31,1959,Japan,2.06
31,1960,Japan,2.01
31,1961,Japan,1.99
31,1962,Japan,2
31,1963,Japan,2.03
31,1964,Japan,2.07
31,1965,Japan,2.14
31,1966,Japan,1.63
31,1967,Japan,2.17
31,1968,Japan,2.09
31,1969,Japan,2.07
31,1970,Japan,2.09
31,1971,Japan,2.1
31,1972,Japan,2.1
31,1973,Japan,2.13
31,1974,Japan,2.06
31,1975,Japan,1.94
31,1976,Japan,1.86
31,1977,Japan,1.81
31,1978,Japan,1.79
31,1979,Japan,1.76
31,1980,Japan,1.75
31,1981,Japan,1.7
31,1982,Japan,1.72
31,1983,Japan,1.75
31,1984,Japan,1.76
31,1985,Japan,1.74
31,1986,Japan,1.68
31,1987,Japan,1.69
31,1988,Japan,1.66
